
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_FtildeStateIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:   386260
Number of nonzeros in inequality constraint Jacobian.:    42048
Number of nonzeros in Lagrangian Hessian.............:    76913

Total number of variables............................:    44187
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    44187
                     variables with only upper bounds:        0
Total number of equality constraints.................:    33650
Total number of inequality constraints...............:    21025
        inequality constraints with only lower bounds:    10488
   inequality constraints with lower and upper bounds:       49
        inequality constraints with only upper bounds:    10488

  42 4.0665288e+000 8.43e+000 1.77e-002  -4.2 1.46e+001  -5.8 8.34e-001 4.78e-001h  1
  43 3.8296723e+000 6.96e+000 9.76e-003  -4.3 5.49e+001  -6.3 5.60e-001 5.18e-001h  1
  44 4.1203965e+000 9.07e+001 3.89e-002  -4.0 1.91e+001  -5.9 5.63e-001 1.00e+000h  1
  45 4.0819895e+000 3.96e+001 3.06e-002  -4.2 4.81e+000  -4.5 1.00e+000 4.98e-001h  1
  46 3.9617859e+000 1.11e+001 2.36e-003  -4.2 4.32e+000  -5.0 1.00e+000 1.00e+000h  1
  47 3.6855110e+000 3.66e+001 6.26e-003  -4.4 6.08e+000  -5.5 1.00e+000 1.00e+000h  1
  48 3.8465184e+000 8.37e+001 4.76e-003  -4.1 1.01e+001  -6.0 1.00e+000 1.00e+000h  1
  49 4.2726329e+000 3.78e+001 1.65e-002  -3.9 2.71e+001    -  5.23e-001 7.10e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50 4.2811180e+000 4.03e+000 3.95e-002  -4.1 3.13e+000  -3.7 1.00e+000 8.83e-001h  1
  51 4.2781270e+000 4.38e-001 1.25e-002  -4.1 4.79e-001  -3.3 9.90e-001 1.00e+000h  1
  52 4.2161330e+000 2.67e+000 8.98e-003  -4.6 1.17e+000  -3.8 9.94e-001 9.27e-001h  1
  53 4.1440240e+000 2.09e+000 1.62e-002  -4.3 1.58e+000  -4.3 1.00e+000 1.00e+000h  1
  54 3.9635118e+000 3.49e+001 2.53e-002  -4.5 3.47e+000  -4.7 9.66e-001 1.00e+000h  1
  55 3.8294694e+000 3.33e+001 1.38e-002  -4.6 1.17e+001  -5.2 1.00e+000 4.77e-001h  1
  56 3.8176037e+000 8.46e+000 3.81e-003  -4.3 3.08e+000  -4.8 9.53e-001 1.00e+000h  1
  57 3.6878352e+000 3.93e+000 2.32e-003  -4.4 3.93e+000  -5.3 1.00e+000 1.00e+000h  1
  58 3.7511585e+000 1.47e+001 1.27e-002  -4.1 1.73e+001  -5.7 4.62e-001 4.07e-001h  1
  59 3.6355349e+000 7.46e+000 1.42e-002  -4.3 2.67e+001  -6.2 5.50e-001 7.79e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60 3.4689772e+000 3.11e+001 9.46e-003  -4.5 1.07e+001  -5.8 1.00e+000 1.00e+000h  1
  61 3.4454039e+000 1.69e+000 6.70e-003  -4.5 7.14e+000  -5.4 7.20e-001 1.00e+000h  1
  62 3.5537318e+000 1.12e+001 4.20e-002  -4.2 2.21e+000  -4.9 6.42e-001 1.00e+000h  1
  63 3.5236700e+000 5.80e+000 1.34e-002  -4.4 1.98e+000  -4.5 1.00e+000 1.00e+000h  1
  64 3.4374567e+000 7.38e+000 4.18e-003  -4.6 3.51e+000  -5.0 1.00e+000 1.00e+000h  1
  65 3.5247685e+000 7.87e+000 3.52e-002  -4.3 1.85e+000  -5.5 5.89e-001 1.00e+000h  1
  66 3.4565360e+000 8.11e+000 1.26e-003  -4.5 1.63e+000  -5.0 1.00e+000 1.00e+000h  1
  67 3.4084121e+000 5.84e-001 1.69e-003  -4.5 3.97e+000  -5.5 1.00e+000 1.00e+000h  1
  68 3.3815824e+000 1.39e+001 4.77e-002  -4.6 2.03e+000  -5.1 7.59e-001 1.00e+000h  1
  69 3.3382895e+000 1.01e+000 1.05e-002  -4.6 2.62e+000  -5.6 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70 3.2650867e+000 2.34e+000 2.92e-003  -4.7 7.18e+000  -6.1 1.00e+000 9.98e-001h  1
  71 3.3645686e+000 5.59e+000 1.55e-002  -4.5 1.88e+001  -6.5 1.91e-001 6.66e-001h  1
  72 3.3022780e+000 3.84e+000 4.24e-003  -4.7 2.83e+000  -5.2 1.00e+000 1.00e+000h  1
  73 3.2459056e+000 2.15e+000 6.46e-003  -4.8 7.30e+000  -5.7 1.00e+000 1.00e+000h  1
  74 3.2311756e+000 1.85e+000 1.40e-002  -4.8 1.49e+001  -6.2 1.00e+000 5.82e-001h  1
  75 3.3354944e+000 1.32e+001 1.29e-002  -4.5 5.68e+000  -5.7 7.65e-001 1.00e+000h  1
  76 3.2995999e+000 6.41e+000 7.47e-003  -4.7 1.74e+000  -5.3 1.00e+000 1.00e+000h  1
