
List of user-set options:

                                    Name   Value                used
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 2000                  yes
                             mu_strategy = adaptive              yes
                             output_file = DynamicOptimization_FtildeStateIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-006                yes
This is Ipopt version 3.11.0, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:   386260
Number of nonzeros in inequality constraint Jacobian.:    42048
Number of nonzeros in Lagrangian Hessian.............:    76913

Total number of variables............................:    44187
                     variables with only lower bounds:        0
                variables with lower and upper bounds:    44187
                     variables with only upper bounds:        0
Total number of equality constraints.................:    33650
Total number of inequality constraints...............:    21025
        inequality constraints with only lower bounds:    10488
   inequality constraints with lower and upper bounds:       49
        inequality constraints with only upper bounds:    10488

 176 3.0549904e+000 6.59e+000 4.12e-002  -5.6 5.02e+000  -7.0 1.51e-001 1.00e+000h  1
 177 3.0494852e+000 1.85e+000 1.29e-002  -5.8 2.19e+000  -4.8 8.45e-001 8.58e-001h  1
 178 3.0478794e+000 6.80e-001 3.79e-003  -5.8 4.15e-001  -4.4 1.00e+000 9.23e-001h  1
 179 3.0453192e+000 1.51e-001 3.47e-003  -6.1 1.63e-001  -3.9 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180 3.0426728e+000 3.48e-001 1.71e-003  -6.1 2.08e-001  -4.4 1.00e+000 1.00e+000h  1
 181 3.0436410e+000 1.29e-001 7.49e-003  -5.9 2.93e-001  -4.9 7.38e-001 9.08e-001h  1
 182 3.0401622e+000 1.12e+000 2.18e-003  -6.0 7.67e-001  -5.4 1.00e+000 8.07e-001h  1
 183 3.0440357e+000 8.96e-001 6.27e-003  -5.8 1.75e+000  -5.8 7.89e-001 1.00e+000f  1
 184 3.0406168e+000 1.42e+000 1.65e-003  -5.9 3.36e+000  -6.3 1.00e+000 7.64e-001h  1
 185 3.0393113e+000 1.13e+000 9.27e-004  -5.9 3.10e+000  -6.8 1.00e+000 8.43e-001h  1
 186 3.0388827e+000 2.27e+000 3.63e-003  -5.9 2.56e+000  -5.5 1.00e+000 1.00e+000h  1
 187 3.0352628e+000 3.35e-001 3.62e-004  -6.1 1.07e+000  -5.9 1.00e+000 1.00e+000h  1
 188 3.0342424e+000 1.19e-001 4.41e-004  -6.3 3.97e-001  -4.6 9.80e-001 1.00e+000h  1
 189 3.0338344e+000 2.56e-001 3.25e-003  -6.2 1.49e+000  -5.1 1.00e+000 9.24e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190 3.0318195e+000 4.43e-001 9.06e-004  -6.5 1.10e+000  -5.6 1.00e+000 1.00e+000h  1
 191 3.0336495e+000 2.45e-001 3.78e-003  -6.2 3.86e-001  -5.1 7.57e-001 1.00e+000h  1
 192 3.0317144e+000 4.02e-001 1.39e-003  -6.4 9.36e-001  -5.6 1.00e+000 1.00e+000h  1
 193 3.0332561e+000 4.92e-001 3.93e-003  -6.2 1.27e+000  -6.1 1.00e+000 7.38e-001h  1
 194 3.0327476e+000 2.36e-001 5.95e-004  -6.3 8.37e-001  -5.7 9.40e-001 1.00e+000h  1
 195 3.0319294e+000 4.84e-001 8.78e-005  -6.4 1.16e+000  -6.2 1.00e+000 1.00e+000h  1
 196 3.0342283e+000 2.50e+000 7.14e-004  -6.1 2.32e+000  -6.6 7.57e-001 7.91e-001h  1
 197 3.0329847e+000 5.45e+000 1.08e-003  -6.2 6.49e+000  -7.1 9.08e-001 8.43e-001h  1
 198 3.0327429e+000 2.23e+000 1.18e-002  -6.2 1.40e+001  -7.6 3.76e-001 5.88e-001h  1
 199 3.0326862e+000 7.04e-001 1.49e-002  -6.2 1.98e+000  -6.3 1.00e+000 6.84e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200 3.0326678e+000 5.56e-001 8.06e-003  -6.2 6.60e+000  -6.7 5.16e-001 2.91e-001h  1
 201 3.0326010e+000 4.19e-001 2.73e-003  -6.2 5.67e+000  -7.2 1.00e+000 7.10e-001h  1
 202 3.0346273e+000 5.69e+000 4.73e-003  -6.0 1.76e+001  -7.7 5.98e-001 4.96e-001f  1
 203 3.0337430e+000 2.22e+000 4.79e-004  -6.2 1.04e+001  -7.3 1.00e+000 7.64e-001h  1
 204 3.0334015e+000 3.91e-001 5.35e-004  -6.2 9.13e+000  -7.7 1.00e+000 1.00e+000h  1
 205 3.0333827e+000 1.52e-001 7.41e-005  -6.2 3.29e+000  -7.3 1.00e+000 1.00e+000h  1
 206 3.0317322e+000 1.49e+000 2.75e-004  -6.3 1.14e+001  -7.8 1.00e+000 1.00e+000h  1
 207 3.0308187e+000 2.35e+000 1.49e-004  -6.4 4.55e+000  -7.4 1.00e+000 1.00e+000h  1
 208 3.0331273e+000 2.14e+001 2.28e-003  -6.0 1.89e+001  -7.8 3.54e-001 4.91e-001h  1
 209 3.0323729e+000 9.40e+000 2.36e-003  -6.3 1.28e+001  -8.3 9.36e-001 4.38e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210 3.0318967e+000 3.63e+001 1.28e-003  -6.3 4.54e+000  -7.0 7.00e-001 5.25e-001h  1
 211 3.0316893e+000 3.64e+001 7.08e-004  -6.3 5.11e+000  -7.5 5.22e-001 4.62e-001h  1
 212 3.0316206e+000 2.11e+001 6.67e-004  -6.3 3.39e+000  -5.2 5.17e-001 3.84e-001h  1
 213 3.0314901e+000 1.72e+001 1.57e-003  -6.3 1.24e+000  -5.7 6.23e-001 1.00e+000h  1
 214 3.0314888e+000 1.41e+001 1.88e-003  -6.3 3.69e-001  -4.4 1.00e+000 1.00e+000h  1
 215 3.0304402e+000 1.60e+000 7.07e-004  -6.5 2.06e-001  -4.9 1.00e+000 1.00e+000h  1
 216 3.0320422e+000 1.51e+000 8.49e-003  -6.3 3.36e-001  -5.3 7.54e-001 1.00e+000h  1
 217 3.0317899e+000 1.19e+000 8.09e-003  -6.4 1.56e+000  -5.8 4.00e-001 2.11e-001h  1
 218 3.0311535e+000 1.53e-002 4.99e-004  -6.4 8.60e-002  -4.5 1.00e+000 1.00e+000f  1
 219 3.0301151e+000 7.32e-002 3.08e-004  -6.6 2.23e-001  -5.0 9.91e-001 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 220 3.0293736e+000 1.85e-001 1.80e-003  -6.7 7.59e-001  -5.4 1.00e+000 1.00e+000h  1
 221 3.0298368e+000 1.60e-001 6.57e-003  -6.4 4.61e-001  -5.0 6.33e-001 4.13e-001h  1
 222 3.0295788e+000 1.26e-001 1.82e-002  -6.9 1.72e-001  -4.6 8.31e-001 3.00e-001h  1
 223 3.0293025e+000 5.16e-002 7.15e-003  -6.8 1.13e-001  -4.2 9.85e-001 7.24e-001h  1
 224 3.0291373e+000 7.20e-002 2.32e-003  -6.8 1.07e-001  -4.6 1.00e+000 7.60e-001h  1
 225 3.0299254e+000 7.23e-001 7.27e-003  -6.5 1.45e-001  -5.1 7.43e-001 1.00e+000h  1
 226 3.0294359e+000 1.42e-001 1.21e-004  -6.7 7.92e-002  -4.7 1.00e+000 1.00e+000h  1
 227 3.0293186e+000 4.40e-002 1.18e-004  -6.7 1.78e-001  -5.2 1.00e+000 1.00e+000h  1
 228 3.0289432e+000 3.40e-001 9.67e-005  -6.8 5.02e-001  -5.6 1.00e+000 1.00e+000h  1
 229 3.0299680e+000 1.19e+000 1.92e-002  -6.5 4.00e-001  -6.1 3.15e-001 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 230 3.0296539e+000 1.09e+000 1.89e-002  -6.8 2.26e+000  -6.6 1.00e+000 2.77e-001h  1
 231 3.0288086e+000 4.60e-001 3.25e-004  -6.8 1.32e+000  -7.1 1.00e+000 1.00e+000h  1
 232 3.0287657e+000 7.06e-001 1.27e-003  -6.8 3.93e-001  -5.7 7.80e-001 1.00e+000h  1
 233 3.0286523e+000 2.56e-001 6.86e-004  -6.8 2.17e-001  -5.3 1.00e+000 1.00e+000h  1
 234 3.0285003e+000 2.24e+000 1.49e-003  -6.9 4.47e-001  -5.8 1.00e+000 1.00e+000h  1
 235 3.0281059e+000 8.96e+000 5.51e-004  -7.0 7.75e-001  -6.3 1.00e+000 1.00e+000h  1
 236 3.0280713e+000 3.86e+000 1.04e-004  -7.1 9.40e-001  -6.8 1.00e+000 1.00e+000h  1
 237 3.0280450e+000 5.71e-001 3.61e-005  -7.1 2.13e+000  -7.2 1.00e+000 9.85e-001h  1
 238 3.0280201e+000 2.92e-001 7.53e-005  -7.1 4.13e-001  -5.9 1.00e+000 1.00e+000h  1
 239 3.0278120e+000 6.71e-001 2.20e-004  -7.3 1.72e-001  -4.6 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 240 3.0277130e+000 1.59e+000 2.24e-004  -7.4 3.01e-001  -5.0 1.00e+000 1.00e+000h  1
 241 3.0276054e+000 2.19e+000 2.34e-005  -7.5 1.74e-001  -5.5 1.00e+000 1.00e+000h  1
 242 3.0275228e+000 1.35e+000 5.80e-005  -7.6 3.49e-001  -6.0 9.96e-001 1.00e+000h  1
 243 3.0275104e+000 8.45e-001 4.03e-004  -7.6 1.03e+000  -6.5 1.00e+000 9.05e-001h  1
 244 3.0276234e+000 9.15e-001 2.86e-003  -7.4 2.42e+000  -7.0 8.14e-001 8.83e-001h  1
 245 3.0275805e+000 1.39e+000 7.72e-003  -7.5 4.39e+000  -7.4 8.64e-001 4.72e-001h  1
 246 3.0275548e+000 1.87e+000 9.04e-004  -7.5 7.63e+000  -7.9 5.89e-001 3.56e-001h  1
 247 3.0275354e+000 1.37e+000 2.50e-003  -7.5 2.63e+000  -7.5 1.00e+000 5.44e-001h  1
 248 3.0275275e+000 1.09e+000 2.36e-003  -7.5 6.32e+000  -8.0 8.24e-001 2.45e-001h  1
 249 3.0275191e+000 9.19e-001 1.91e-003  -7.5 6.35e+001  -8.4 1.78e-001 1.62e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 250 3.0275010e+000 3.38e-001 2.47e-004  -7.5 7.14e+000  -8.0 1.00e+000 7.26e-001h  1
 251 3.0277093e+000 1.03e+000 2.60e-003  -6.8 4.07e+001  -8.5 1.36e-001 2.06e-001f  1
 252 3.0275980e+000 4.27e-001 1.38e-003  -7.4 8.76e+000  -8.1 1.00e+000 6.94e-001h  1
 253 3.0275875e+000 3.75e-001 1.59e-003  -7.4 2.64e+001  -8.5 5.23e-001 1.48e-001h  1
 254 3.0275797e+000 3.53e-001 1.44e-003  -7.4 1.36e+002  -9.0 5.51e-002 8.74e-002h  1
 255 3.0275739e+000 3.39e-001 1.38e-003  -7.4 1.90e+002  -9.5 1.05e-001 5.75e-002h  1
 256 3.0275706e+000 3.29e-001 1.33e-003  -7.4 1.19e+002    -  4.66e-002 4.11e-002h  1
 257 3.0275665e+000 3.16e-001 1.32e-003  -7.4 8.94e+001    -  2.18e-001 5.62e-002h  1
 258 3.0275589e+000 3.81e-001 1.08e-003  -7.4 1.08e+002  -9.1 1.39e-001 1.72e-001f  1
 259 3.0275392e+000 3.77e-001 1.98e-003  -7.4 4.33e+001    -  8.93e-001 3.80e-001h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 260 3.0275291e+000 1.45e-001 4.30e-004  -7.4 3.56e+000  -7.7 1.00e+000 6.70e-001h  1
 261 3.0275226e+000 6.62e-002 1.71e-006  -7.4 3.53e+000  -8.2 1.00e+000 1.00e+000f  1
 262 3.0274042e+000 2.89e-001 1.24e-005  -7.6 1.35e+000  -7.8 1.00e+000 1.00e+000h  1
 263 3.0273374e+000 3.46e-001 1.28e-004  -7.8 3.72e+000  -8.3 9.76e-001 1.00e+000h  1
 264 3.0272999e+000 6.84e-002 1.37e-005  -7.9 1.38e+000  -7.8 9.98e-001 1.00e+000h  1
 265 3.0272665e+000 1.72e+000 1.89e-003  -8.2 1.76e+001  -8.3 2.44e-001 8.08e-001h  1
 266 3.0273045e+000 1.58e+000 1.15e-003  -7.7 1.73e+001  -8.8 4.50e-001 4.39e-001h  1
 267 3.0273014e+000 1.86e+000 3.09e-004  -8.0 3.78e+001  -8.4 5.12e-001 2.02e-001h  1
 268 3.0272929e+000 1.97e-002 5.18e-007  -8.0 2.61e-001  -7.0 1.00e+000 1.00e+000h  1
 269 3.0272598e+000 3.38e-002 9.18e-007  -8.2 5.35e-001  -7.5 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 270 3.0273023e+000 5.58e-002 1.90e-003  -7.9 7.07e-001  -8.0 7.69e-001 1.00e+000h  1
 271 3.0272752e+000 3.48e-002 1.18e-006  -8.1 1.18e+000  -8.5 1.00e+000 1.00e+000h  1
 272 3.0272747e+000 6.20e-003 1.69e-007  -8.1 2.93e+000  -8.9 1.00e+000 1.00e+000h  1
 273 3.0272478e+000 2.65e-002 1.70e-006  -8.3 1.22e+000  -8.5 1.00e+000 1.00e+000h  1
 274 3.0272334e+000 5.69e-002 2.73e-004  -8.4 3.39e+000  -9.0 9.62e-001 1.00e+000h  1
 275 3.0272179e+000 1.09e-001 1.45e-005  -8.8 9.95e-001  -8.6 1.00e+000 1.00e+000h  1
 276 3.0272289e+000 1.47e-001 8.45e-004  -8.4 4.32e-001  -7.2 3.53e-001 6.21e-001h  1
 277 3.0272209e+000 8.39e-003 4.10e-007  -8.7 2.04e-001  -7.7 1.00e+000 1.00e+000h  1
 278 3.0272339e+000 5.28e-002 1.41e-003  -8.3 4.10e-001  -8.2 9.45e-001 6.01e-001h  1
 279 3.0272336e+000 1.90e-002 1.55e-006  -8.4 9.19e-001  -8.7 1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 280 3.0272335e+000 4.07e-003 3.45e-007  -8.4 2.73e+000  -9.2 1.00e+000 1.00e+000h  1
 281 3.0272225e+000 1.94e-001 2.40e-005  -8.6 3.64e+000  -9.6 1.00e+000 1.00e+000h  1
 282 3.0272201e+000 6.74e-002 1.89e-003  -8.7 7.59e-002  -7.4 1.00e+000 6.80e-001h  1
 283 3.0272151e+000 4.49e-003 3.21e-007  -8.9 8.00e-002  -7.0 1.00e+000 1.00e+000f  1
 284 3.0272110e+000 1.85e-001 8.49e-006  -9.1 2.16e-001  -7.5 1.00e+000 1.00e+000h  1
 285 3.0272164e+000 3.96e+000 3.61e-003  -8.8 5.32e-001  -7.0 2.24e-001 1.00e+000h  1
 286 3.0272153e+000 3.20e+000 2.57e-003  -9.1 6.17e-001  -7.5 5.44e-001 1.94e-001h  1
 287 3.0272107e+000 4.48e-001 5.33e-004  -9.1 3.26e-001  -8.0 4.76e-001 1.00e+000h  1
 288 3.0272082e+000 4.07e-002 5.75e-007  -9.3 4.10e-002  -6.6 1.00e+000 1.00e+000h  1
 289 3.0272072e+000 9.32e-003 8.40e-005  -9.4 9.71e-002  -7.1 9.88e-001 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 290 3.0272062e+000 1.22e-003 3.09e-008  -9.6 4.63e-002  -6.7 1.00e+000 1.00e+000h  1
 291 3.0272048e+000 3.80e-002 2.26e-003 -10.0 2.53e-001  -7.2 6.70e-001 1.00e+000h  1
 292 3.0272064e+000 1.28e-002 1.32e-002  -9.3 1.27e-001  -7.7 1.81e-001 5.46e-001h  1
 293 3.0272055e+000 5.32e-002 2.12e-003  -9.8 3.65e-001  -7.2 1.00e+000 8.86e-001h  1
 294 3.0272054e+000 7.83e-002 1.97e-003  -9.8 1.87e+000  -7.7 1.90e-001 1.48e-001f  1
 295 3.0272053e+000 1.33e-001 6.47e-006  -9.8 2.66e-001  -8.2 1.00e+000 1.00e+000f  1
 296 3.0272052e+000 3.57e-002 3.44e-005  -9.8 4.02e-001  -8.7 1.00e+000 8.54e-001h  1
 297 3.0272052e+000 7.33e-003 6.40e-006  -9.8 8.05e-001  -9.1 1.00e+000 7.89e-001f  1
 298 3.0272067e+000 2.33e-002 1.22e-002  -8.6 2.55e+001  -9.6 1.32e-001 7.63e-002f  1
 299 3.0272069e+000 7.36e-003 1.51e-008  -9.4 1.57e+000    -  1.00e+000 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 300 3.0272069e+000 2.52e-003 3.45e-004  -9.4 1.17e+000    -  1.00e+000 8.13e-001h  1
 301 3.0272069e+000 4.21e-004 1.02e-009  -9.4 1.30e-001    -  1.00e+000 1.00e+000f  1
 302 3.0272057e+000 5.48e-003 8.44e-009  -9.6 1.95e-001    -  1.00e+000 1.00e+000h  1
 303 3.0272049e+000 1.27e-002 8.29e-005  -9.9 1.52e-001    -  9.86e-001 1.00e+000h  1
 304 3.0272044e+000 3.24e-003 9.60e-009 -10.2 1.29e-001    -  1.00e+000 1.00e+000h  1
 305 3.0272041e+000 2.56e-004 7.78e-009 -10.5 9.57e-002    -  1.00e+000 1.00e+000h  1
 306 3.0272039e+000 2.02e-004 9.03e-003 -11.0 7.53e-002    -  8.59e-001 1.00e+000h  1
 307 3.0272039e+000 1.75e-006 2.53e-010 -11.0 1.80e-002    -  1.00e+000 1.00e+000h  1

Number of Iterations....: 307

                                   (scaled)                 (unscaled)
Objective...............:  3.0272039403379081e+000   3.0272039403379081e+000
Dual infeasibility......:  2.5325314034989524e-010   2.5325314034989524e-010
Constraint violation....:  1.8608954188597581e-007   1.7468764497152733e-006
Complementarity.........:  2.9530458827683422e-011   2.9530458827683422e-011
Overall NLP error.......:  1.8608954188597581e-007   1.7468764497152733e-006


Number of objective function evaluations             = 308
Number of objective gradient evaluations             = 308
Number of equality constraint evaluations            = 308
Number of inequality constraint evaluations          = 308
Number of equality constraint Jacobian evaluations   = 308
Number of inequality constraint Jacobian evaluations = 308
Number of Lagrangian Hessian evaluations             = 307
Total CPU secs in IPOPT (w/o function evaluations)   =    441.755
Total CPU secs in NLP function evaluations           =     36.261

EXIT: Optimal Solution Found.
